generation	fitness	corner	c	a1	a2	b	o	x	wp	we
78	61.66666666666667	149	-168	10	27	58	7	148	162	144
79	54.16666666666667	149	-168	10	27	58	7	148	162	144
80	55.0	192	-146	-163	96	-4	93	-122	133	104
81	56.666666666666664	149	-168	10	27	58	7	148	162	144
82	59.16666666666667	-27	126	-103	70	173	-76	151	133	174
83	61.66666666666667	149	-168	10	27	58	7	148	162	144
84	56.666666666666664	192	-146	-103	70	172	-32	151	74	172
85	59.16666666666667	149	19	-41	27	58	7	148	133	172
86	54.16666666666667	149	-168	10	27	58	7	148	162	144
87	60.83333333333333	163	-168	10	131	-22	-32	148	133	174
88	58.33333333333333	93	66	-65	92	173	-76	151	133	174
89	60.0	163	-168	10	-112	106	-32	-35	74	172
90	65.0	166	-168	10	27	58	-32	148	74	172
91	61.66666666666667	166	-168	10	27	58	-32	148	74	172
92	65.0	166	-168	10	27	58	-32	148	74	172
93	57.5	163	-168	10	131	-22	-32	148	133	174
94	60.83333333333333	163	-168	10	131	-22	-32	148	133	174
95	59.16666666666667	192	-146	-103	-112	171	-75	151	133	173
96	67.5	167	-168	10	27	58	7	148	162	144
97	55.833333333333336	166	-168	10	27	58	-32	148	74	172
98	57.5	166	-168	10	27	58	-32	148	74	172
99	63.333333333333336	192	-146	-103	-112	171	-75	151	133	173
100	62.5	93	66	-41	27	58	-46	148	132	173
101	60.0	197	-168	10	27	58	7	148	162	144
102	63.333333333333336	163	-168	10	27	58	-32	118	74	172
103	60.0	93	66	-35	92	173	-76	151	133	174
104	61.66666666666667	93	66	-35	92	173	-76	151	133	174
105	61.66666666666667	192	-146	-103	-112	171	-75	151	133	203
106	57.5	166	-168	10	27	58	-32	118	162	144
107	53.333333333333336	166	-168	10	27	58	-32	118	162	144
108	58.33333333333333	93	-138	10	131	-22	-46	148	132	173
109	60.0	193	-168	-41	26	171	-2	151	74	172
110	63.33333333333333	93	-138	10	131	-22	-46	148	132	173
111	61.66666666666667	166	-168	10	27	58	-32	118	162	144
112	63.33333333333333	166	-168	10	27	58	-32	118	162	144
113	63.57142857142857	163	-168	10	27	58	-32	118	74	172
114	63.75	193	-168	-41	131	-22	7	181	162	172
115	56.875	93	-138	10	131	-22	-46	148	132	173
116	61.25	166	-168	10	27	58	-32	118	162	144
117	54.375	149	-198	-103	69	172	-32	151	133	173
118	58.75	163	-138	-41	27	-22	-62	181	133	174
119	59.375	93	-138	10	131	-22	-46	148	132	173
120	61.25	191	-146	-103	-112	171	-75	151	133	203
121	62.5	166	-168	-59	-127	58	-33	118	162	172
122	61.875	149	-197	-103	69	172	-32	151	133	173
123	61.25	163	-168	10	27	58	-32	118	74	172
124	64.375	193	-168	-41	131	-22	7	181	162	172
125	59.375	163	-168	10	27	57	-32	118	74	172
126	60.625	166	-168	-59	-127	58	-33	118	162	172
127	56.875	163	-168	10	27	58	-32	118	74	172
128	58.125	93	-138	10	131	-22	-46	148	132	173
129	66.875	166	-168	-59	-127	58	-33	118	162	172
130	64.375	163	-168	10	27	58	-32	118	74	172
131	60.0	93	66	-133	92	-22	-62	181	73	174
132	60.0	193	-146	-41	27	-22	-62	181	133	174
133	58.125	93	66	-133	131	-22	-46	148	132	174
134	59.375	163	-168	10	27	58	-32	118	74	172
135	58.75	163	-146	-103	27	-23	-32	149	133	173
136	61.25	163	-168	10	27	57	-32	118	74	172
137	63.125	166	-168	-59	-127	58	-33	118	162	172
138	57.5	93	66	-60	-127	58	-31	118	73	174
139	63.0	163	-168	10	27	57	-32	118	74	172
140	53.5	[50, 50, 193]	[-20, -20, -168]	[0, 0, -39]	[-1, -1, 131]	[-1, -1, -22]	[-5, -5, -32]	[-25, -25, 118]	[5, 5, 75]	[100, 100, 173]
141	47.0	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, 0, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -5, -32]	[-25, -25, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
142	53.0	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, 0, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -5, -32]	[-25, -25, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
143	57.0	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, 0, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -5, -32]	[-25, -25, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
144	50.0	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, 0, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -5, -32]	[-25, -25, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
145	54.5	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, 0, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -5, -32]	[-25, -25, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
146	52.5	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, 0, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-25, -25, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
147	49.0	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, 0, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-25, -25, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
148	56.5	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, 0, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-25, -25, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
149	48.5	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, 0, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-25, -25, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
150	47.5	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, 0, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-25, -22, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
151	51.0	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, 0, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-25, -22, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
152	50.0	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, 0, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-25, -22, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
153	48.0	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, 0, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-25, -22, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
154	48.5	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, 0, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-25, -22, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
155	53.0	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, 0, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-25, -22, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
156	46.0	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, 0, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-25, -22, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
157	56.5	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, 0, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-25, -22, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
158	54.5	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, 0, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-25, -22, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
159	55.0	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, 0, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-25, -22, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
160	58.5	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, 0, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-25, -22, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
161	54.0	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, 0, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-25, -22, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
162	48.5	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, -3, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-25, -22, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
163	49.5	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, 0, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-25, -22, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
164	46.5	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, -3, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-25, -22, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
165	63.0	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, -3, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-179, -126, -128, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
166	56.5	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, -3, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-25, -22, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
167	49.5	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, 0, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-25, -22, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
168	53.5	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, -3, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-179, -126, -128, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
169	53.0	[27, 158, 23, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, -3, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-25, -22, -25, -131, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
170	55.0	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, -3, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-179, -126, -128, -25, 118]	[5, 5, 5, 5, 33]	[100, 100, 100, 100, 173]
171	55.0	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, 0, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-25, -22, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
172	52.0	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, 0, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-25, -22, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
173	56.0	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, 66]	[0, 0, 0, -3, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-179, -126, -128, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 176]
174	55.0	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, 0, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-25, -22, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
175	58.0	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, -3, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-179, -126, -128, -25, 118]	[5, 5, 5, 5, 33]	[100, 100, 100, 100, 173]
176	55.5	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, 66]	[0, 0, 0, -3, -39]	[-1, -133, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-179, -126, -128, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 176]
177	60.0	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, 66]	[0, 0, 0, -3, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-179, -126, -128, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 176]
178	59.0	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, 66]	[0, 0, 0, -3, -39]	[-1, -133, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-179, -126, -128, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 176]
179	53.5	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, -3, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-179, -126, -128, -25, 118]	[5, 5, 5, 5, 33]	[100, 100, 100, 100, 173]
180	54.5	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, -3, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -5, -32]	[-179, -126, -128, -25, 118]	[5, 5, 5, 5, 33]	[100, 100, 100, 100, 173]
181	54.5	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, -3, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -5, -32]	[-179, -126, -128, -25, 118]	[5, 5, 5, 5, 33]	[100, 100, 100, 100, 173]
182	54.0	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, -3, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-179, -126, -128, -25, 118]	[5, 5, 5, 5, 33]	[100, 100, 100, 100, 173]
183	59.0	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, -3, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-179, -126, -128, -25, 118]	[5, 5, 5, 5, 33]	[100, 100, 100, 100, 173]
184	62.5	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, 66]	[0, 0, 0, -3, -39]	[-1, -133, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-179, -126, -128, -25, 118]	[2, 5, 5, 5, 75]	[100, 100, 100, 100, 176]
185	60.5	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, 66]	[0, 0, 0, -3, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-179, -126, -128, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 176]
186	58.0	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, 66]	[0, 0, 0, -3, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-179, -126, -128, -25, 118]	[5, 5, 5, 2, 75]	[100, 100, 100, 100, 176]
187	54.5	[50, 50, 50, 50, 193]	[-20, -20, -17, -20, -168]	[0, 0, 0, 0, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-25, -22, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
188	55.5	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, -3, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -5, -32]	[-179, -126, -128, -25, 118]	[5, 5, 5, 5, 33]	[100, 100, 100, 100, 173]
189	59.0	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, -3, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-179, -126, -128, -25, 118]	[5, 5, 5, 5, 33]	[100, 100, 100, 100, 173]
190	58.5	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, -3, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -5, -32]	[-179, -126, -128, -25, 118]	[5, 5, 5, 5, 33]	[100, 100, 100, 100, 173]
191	53.5	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, -3, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -5, -32]	[-179, -126, -128, -25, 118]	[5, 5, 5, 5, 33]	[100, 100, 100, 100, 173]
192	60.5	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, -3, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-179, -126, -128, -25, 118]	[5, 5, 5, 5, 33]	[100, 100, 100, 100, 173]
193	57.0	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, -3, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -5, -32]	[-179, -126, -128, -25, 118]	[5, 5, 5, 5, 33]	[100, 100, 100, 100, 173]
194	53.0	[50, 50, 50, 50, 193]	[-20, -20, -17, -20, -168]	[0, 0, -3, 0, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, 2, -22]	[-5, -5, -5, -8, -32]	[-25, -22, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
195	57.0	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, -3, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -5, -32]	[-179, -126, -128, -25, 118]	[5, 5, 5, 5, 33]	[100, 100, 100, 100, 173]
196	54.0	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 0, -3, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -5, -32]	[-179, -126, -128, -25, 118]	[5, 5, 5, 5, 33]	[100, 100, 100, 100, 176]
197	56.5	[50, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, -3, 0, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, 2, -22]	[-5, -5, -5, -8, -32]	[-25, -22, -25, -25, 118]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
198	58.5	[50, 50, 50, 50, 193]	[-20, -20, -17, -20, -168]	[0, 0, 0, -3, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, 2, -22]	[-5, -5, -5, -5, -32]	[-179, -126, -131, -25, 118]	[5, 5, 5, 5, 33]	[100, 100, 100, 100, 173]
199	66.5	[50, 50, 50, 50, 193]	[-20, -20, -17, -20, -168]	[0, 0, 0, -3, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, 2, -22]	[-5, -5, -5, -5, -32]	[-179, -126, -131, -25, 118]	[5, 5, 5, 5, 33]	[100, 100, 100, 100, 173]
200	57.0	[50, 50, 50, 100, 193]	[-20, -20, -20, -20, 66]	[0, 0, 0, -3, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-179, -126, -128, -22, 118]	[5, 5, 5, 2, 75]	[100, 100, 97, 100, 176]
201	50.5	[53, 50, 50, 50, 193]	[-20, -20, -20, -20, -168]	[0, 0, 3, 0, -39]	[2, -1, -1, -1, 128]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -8, -32]	[-25, -22, -25, -25, 68]	[5, 5, 5, 5, 75]	[100, 100, 100, 100, 173]
202	61.5	[50, 50, 50, 50, 193]	[-20, -70, -20, -20, -168]	[0, 0, 0, -3, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, -1, -22]	[-5, -5, -5, -5, -32]	[-179, -126, -128, -25, 118]	[5, 5, 5, 5, 33]	[100, 100, 100, 100, 176]
203	63.0	[50, 50, 50, 50, 193]	[-20, -20, -17, -20, -168]	[0, 0, 0, -3, -39]	[-1, -1, -1, -1, 131]	[-1, -1, -1, 2, -22]	[-5, -5, -5, -5, -32]	[-179, -126, -131, -25, 118]	[5, 5, 5, 5, 33]	[100, 100, 100, 100, 223]
