generation	fitness	corner	c	a1	a2	b	o	x	wp	we
0	55.83333333333333	89	-115	-166	32	60	-149	150	74	172
1	54.16666666666667	1	-175	58	110	57	-85	-128	39	67
2	50.0	89	-115	-166	32	172	-149	150	74	172
3	50.0	-153	87	110	96	59	-73	36	60	-2
4	52.5	89	-115	-166	33	60	-149	150	74	172
5	50.0	1	189	-64	110	57	-85	-128	39	67
6	49.166666666666664	89	-115	-166	1	-69	-149	150	74	172
7	45.0	1	189	-64	110	57	-85	-128	39	67
8	46.66666666666667	89	-115	-64	1	-69	-85	-107	39	172
9	52.5	89	-115	-166	32	172	-149	150	74	172
10	45.0	-152	87	110	96	59	-85	-107	60	-2
11	54.16666666666667	89	-115	-166	32	172	-149	150	74	172
12	60.83333333333333	-157	126	110	96	59	-85	-107	39	173
13	55.0	89	-115	-166	32	172	-149	150	74	172
14	50.0	198	-187	-103	71	-19	-85	-57	39	67
15	57.5	89	-115	-166	32	172	-149	150	74	172
16	51.66666666666667	2	173	5	182	57	-85	-107	39	67
17	52.5	198	-187	-103	71	-19	-85	-57	39	67
18	58.33333333333333	89	-115	-166	32	172	-149	150	74	172
19	55.0	-157	126	110	96	59	-149	149	74	172
20	62.5	89	-115	-64	1	172	-149	150	74	172
21	55.833333333333336	89	-115	-64	1	172	-149	150	74	172
22	52.5	-157	126	110	110	57	-149	149	74	173
23	58.33333333333333	150	19	-41	-162	114	-76	-147	74	172
24	59.16666666666667	150	19	-103	71	114	-76	-147	74	172
25	55.0	150	19	-41	-162	114	-76	-147	74	172
26	55.0	150	19	-103	71	114	-76	-147	74	172
27	53.333333333333336	150	19	-103	71	114	-76	-147	74	172
28	62.5	150	19	-103	71	114	-76	148	74	172
29	55.0	89	126	110	-174	57	-149	149	74	173
30	52.5	150	19	-133	71	114	-76	-147	74	172
31	55.0	59	126	110	-174	57	-149	149	74	173
32	62.5	59	126	110	-174	57	-149	149	74	173
33	58.33333333333333	150	19	-41	-162	144	-76	-147	74	172
34	55.0	120	19	-103	71	172	-149	150	39	172
35	54.16666666666667	-157	126	-41	-162	144	-76	-147	74	172
36	55.0	-157	126	-41	-162	144	-76	-147	74	172
37	57.5	-157	-175	-85	71	114	-76	148	74	172
38	59.16666666666667	150	19	-133	71	114	-76	-147	74	172
39	54.16666666666667	150	20	-85	27	106	0	-182	39	172
40	53.333333333333336	59	126	110	-174	57	-149	149	74	173
41	56.666666666666664	-157	-175	-85	71	114	-77	148	74	172
42	55.833333333333336	-157	-175	-85	71	114	-77	148	74	172
43	60.83333333333333	59	19	110	-174	57	-76	149	74	172
44	65.0	-157	19	-133	71	114	-76	148	74	172
45	58.33333333333333	-157	-175	-85	71	114	-76	148	74	172
46	56.666666666666664	59	18	110	-174	57	-76	149	74	172
47	60.83333333333333	150	126	110	-174	57	-76	149	74	172
48	59.16666666666667	150	126	110	-174	57	-76	149	74	172
49	54.16666666666667	150	19	-103	71	172	-85	151	39	172
50	63.333333333333336	59	18	110	-174	57	-76	149	74	172
51	58.33333333333333	-158	-175	-85	-174	106	-76	148	74	172
52	57.5	-157	19	-133	-174	57	-76	149	74	172
53	51.66666666666667	104	140	87	-157	-67	93	-75	133	174
54	51.66666666666667	-157	19	-133	-174	57	-76	149	74	172
55	55.833333333333336	149	19	-41	27	57	-76	148	39	172
56	58.333333333333336	-157	19	-133	-174	57	-76	149	74	172
57	51.66666666666667	-157	49	107	-28	-54	-76	151	74	172
58	60.0	-157	19	-133	-174	57	-76	149	74	172
59	57.5	149	19	-41	26	57	-76	148	39	172
60	54.16666666666667	93	66	-65	92	-4	93	-122	133	174
61	62.5	-157	19	-103	70	172	-76	151	74	172
62	54.16666666666667	149	19	-41	26	57	-76	148	39	172
63	55.0	23	89	-92	97	14	-61	-28	94	97
64	55.0	23	89	-92	97	14	-61	-28	94	97
65	56.66666666666667	-157	19	-133	-174	57	-76	149	74	172
66	59.16666666666667	93	66	-65	92	-4	93	-122	133	174
67	55.83333333333333	-157	19	-103	70	172	-76	151	133	174
68	62.5	149	-168	10	27	58	7	148	162	144
69	58.33333333333333	93	66	-65	92	172	-76	151	133	174
70	58.33333333333333	149	-168	10	27	58	7	148	162	144
71	66.66666666666666	149	-168	10	27	58	7	148	162	144
72	58.33333333333333	24	90	-92	97	14	-61	-28	94	97
73	63.333333333333336	24	90	-92	97	14	-61	-28	94	97
74	59.166666666666664	167	-168	10	27	58	7	148	162	144
75	59.16666666666667	93	66	-65	92	173	-76	151	133	174
76	62.5	192	-146	-163	96	-4	93	-122	133	104
77	60.83333333333333	192	-146	-163	27	57	-32	148	74	172
