generation	fitness	corner	c	a1	a2	b1	b2	b3	x	o1	o2	wp	ww	we
1111	60.1	[44, 40, 42, 65, 47]	[-19, -12, -20, -21, -36]	[-8, -1, -1, -2, -9]	[-4, -3, -3, -1, -9]	[-5, -2, -2, 0, 5]	[-4, -4, -2, -3, -5]	[1, -2, 1, 4, 13]	[-25, -36, -31, -27, -25]	[-21, -9, -5, -5, -6]	[-7, -7, -6, 0, -13]	[4, 4, 4, 10, 14]	[10001, 10003, 9996, 9987, 10002]	[90, 83, 102, 96, 91]
1112	60.7	[44, 40, 42, 65, 47]	[-19, -12, -20, -21, -36]	[-8, -1, -1, -2, -9]	[-4, -3, -3, -1, -9]	[-5, -2, -2, 0, 5]	[-4, -4, -2, -3, -5]	[1, -2, 1, 4, 13]	[-25, -36, -31, -27, -25]	[-21, -9, -5, -5, -6]	[-7, -7, -6, 0, -13]	[4, 4, 4, 10, 14]	[10001, 10003, 9996, 9987, 10002]	[90, 83, 102, 96, 91]
1113	61.1	[44, 40, 42, 65, 47]	[-19, -12, -20, -21, -36]	[-8, -1, -1, -2, -9]	[-4, -3, -3, -1, -9]	[-5, -2, -2, -3, 5]	[-4, -4, -2, -3, -5]	[1, -2, 1, 4, 13]	[-25, -36, -31, -27, -25]	[-21, -9, -5, -5, -6]	[-7, -7, -6, 0, -13]	[4, 4, 4, 10, 14]	[10001, 10003, 9996, 9987, 10002]	[90, 83, 102, 96, 91]
1114	59.2	[44, 40, 42, 65, 47]	[-19, -12, -20, -21, -36]	[-8, -1, -1, -2, -9]	[-4, -3, -3, -1, -9]	[-5, -2, -5, 0, 5]	[-4, -4, -2, -3, -5]	[1, -2, 1, 1, 13]	[-27, -37, -31, -27, -25]	[-21, -9, -5, -5, -6]	[-7, -7, -6, -3, -13]	[4, 4, 4, 10, 14]	[10001, 10003, 9996, 9987, 10002]	[90, 83, 102, 96, 91]
1115	61.8	[44, 40, 42, 65, 47]	[-19, -12, -20, -21, -36]	[-8, -1, -1, -2, -9]	[-4, -3, -3, -1, -9]	[-5, -2, -2, -3, 5]	[-4, -4, -2, -3, -5]	[1, -2, 1, 4, 13]	[-25, -36, -31, -27, -25]	[-21, -9, -5, -4, -6]	[-7, -7, -6, 0, -13]	[4, 4, 4, 10, 14]	[10001, 10003, 9996, 9987, 10002]	[90, 83, 102, 96, 91]
1116	60.2	[44, 40, 42, 65, 47]	[-19, -12, -20, -21, -36]	[-8, -1, -1, -2, -9]	[-4, -3, -3, -1, -9]	[-5, -2, -2, -3, 5]	[-4, -4, -2, -3, -5]	[1, -5, 1, 4, 13]	[-25, -36, -31, -27, -25]	[-21, -9, -5, -4, -6]	[-7, -7, -6, 0, -13]	[4, 4, 4, 10, 14]	[10001, 10003, 9996, 9987, 10002]	[90, 83, 102, 96, 91]
1117	61.5	[52, 46, 42, 65, 47]	[-19, -12, -20, -22, -35]	[-10, -1, -1, -2, -9]	[-4, -3, -3, -1, -9]	[-5, -2, -2, 0, 5]	[-4, -4, -2, -3, -5]	[1, -2, 1, 4, 13]	[-25, -36, -31, -27, -25]	[-21, -9, -5, -5, -6]	[-7, -7, -6, 0, -13]	[4, 4, 4, 10, 14]	[10001, 10003, 9996, 9987, 10002]	[90, 83, 102, 96, 91]
1118	59.5	[41, 40, 45, 65, 50]	[-16, -11, -19, -20, -39]	[-6, -1, -1, -2, -11]	[2, -2, -3, 1, -10]	[-4, -2, -5, 0, 2]	[-4, -3, -1, -2, -9]	[6, -3, 4, 4, 13]	[-35, -43, -31, -25, -25]	[-7, -10, -5, -2, -6]	[-8, -7, -6, -4, -12]	[4, 4, 3, 10, 13]	[10002, 10000, 9996, 9985, 10000]	[96, 86, 102, 101, 90]
1119	60.7	[41, 40, 36, 65, 50]	[-16, -12, -16, -20, -42]	[-6, 0, -1, -6, -10]	[2, -6, -1, 1, -13]	[-4, -2, -3, 0, 2]	[-3, -4, -1, -2, -8]	[1, -3, 4, 3, 15]	[-18, -40, -32, -26, -25]	[-14, -10, -5, -3, -6]	[-8, -8, -6, -1, -16]	[4, 4, 4, 10, 13]	[10002, 10000, 9996, 9986, 10000]	[96, 83, 102, 109, 93]
1120	59.4	[44, 40, 42, 65, 47]	[-19, -12, -20, -21, -36]	[-8, -1, -1, -2, -9]	[-4, -3, -3, -1, -9]	[-5, -2, -5, 0, 5]	[-4, -4, -2, -3, -5]	[1, -2, 1, 1, 13]	[-27, -37, -31, -27, -25]	[-21, -9, -5, -5, -6]	[-7, -7, -6, -3, -13]	[4, 4, 4, 13, 14]	[10001, 10003, 9996, 9987, 10002]	[90, 83, 102, 96, 91]
